qid,sex,parentage,vole_group,genotype
Q398,m,PV-B-7,,
Q399,m,PV-B-7,,
Q521,m,PV-B-5,,
Q522,m,PV-B-7,,
Q531,f,-7,,
Q532,f,-7,,
Q573,f,-12,,
Q574,f,-12,,
Q606,m,PV-B-7,,
Q607,m,PV-C-134 New,,
Q608,m,3020x2823,,
Q680,m,EXP11-3,,
Q681,m,EXP10-4,,
Q685,m,EXP10-C3,,
Q686,m,EXP10-C6,,
Q690,f,EXP11-C3,,
Q691,f,EXP11-C3,,
Q693.1,f,EXP11-C3,,
Q693.2,f,EXP11-C3,,
Q693.4,f,EXP11-C3,,
Q693.5,f,EXP11-C3,,
Q694,m,EXP10-C3,,
Q695,m,EXP10-C3,,
Q696,m,EXP10-C3,,
Q697,m,EXP10-C3,,
Q698,f,EXP10-C3,,
Q699,f,EXP10-C3,,
Q703,f,EXP11-C5,,
Q704,f,EXP10-C3,,
Q704.1,f,EXP11-C1,,
Q704.2,f,EXP11-C3,,
Q708,m,EXP11-C6,,
Q709,m,EXP11-C7,,
